threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.02,0.2,13561.263333333336,99,572.5833333333339,1,4.222197587786196,1.1965258021797038,10
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.02,0.2,13561.263333333336,99,221.37166666667144,0,1.632382332127892,1.9390266412925738,11
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.02,0.2,13561.263333333336,99,303.1616666666687,1,2.2354972336648227,1.9550228909434628,10
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.02,0.2,13561.263333333336,99,260.19166666667115,1,1.9186388485438874,1.7295318083823323,9
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.05,0.1,13561.263333333336,99,1974.150000000005,5,14.557272073226251,4.050710643033766,14
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.05,0.1,13561.263333333336,99,1926.9816666666684,4,14.209455412094114,4.977450749111403,14
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.05,0.1,13561.263333333336,99,613.1183333333374,1,4.521100418618845,4.483236998593297,8
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.05,0.1,13561.263333333336,99,79.93166666666548,0,0.5894116551088194,1.89684688375859,8
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.05,0.1,13561.263333333336,99,285.24833333334027,1,2.103405312042021,4.943452278838039,10
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.05,0.1,13561.263333333336,99,191.14833333333627,1,1.4095171565874485,3.1455845031030694,10
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RA,0.05,0.2,13561.263333333336,99,2261.790000000001,5,16.678313401971646,4.950480716021026,20
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,AB,0.05,0.2,13561.263333333336,99,2212.1900000000023,5,16.312565766365438,4.899401753373199,20
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,RB,0.05,0.2,13561.263333333336,99,689.1250000000055,1,5.081569342482635,4.925229345417886,11
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Slack,0.05,0.2,13561.263333333336,99,333.5416666666679,0,2.4595176604736273,4.878647743459133,15
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Deadline,0.05,0.2,13561.263333333336,99,369.6216666666678,1,2.725569569600087,4.901695233721979,12
4.0,RouteID_9475872b-287f-4c2c-8e29-887766a4e090,Random,0.05,0.2,13561.263333333336,99,775.6900000000096,2,5.719894827890982,4.69392704336477,16
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.1,3730.9649999999997,57,423.8016666666658,4,11.35903624576124,1.6313080557200372,12
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.1,3730.9649999999997,57,549.8949999999991,5,14.738680207399401,1.6223467472004562,12
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.1,3730.9649999999997,57,34.85833333333312,1,0.9342980524698872,1.7264248944067997,4
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.1,3730.9649999999997,57,165.10833333333312,1,4.425351975516606,1.9011427446176579,9
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.1,3730.9649999999997,57,34.39666666666653,1,0.9219241313350979,1.3842976814783108,3
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.1,3730.9649999999997,57,141.45666666666648,2,3.791423041134572,1.840131706510674,3
5.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.2,3730.9649999999997,57,666.4616666666661,6,17.862983615945637,1.6905538494144525,20
